"id";"tag";"context_set";"created_at";"updated_at"
"3";"Fatigue and Weakness";"Causes of feeling tired and weak";"2024-06-21 05:49:59";"2024-06-21 05:49:59"
"4";"Pain or Burning During Urination";"Causes of pain or burning during urination";"2024-06-21 05:53:03";"2024-06-21 05:53:03"
"5";"Fever, Tiredness, and Shakiness";"Symptoms of fever, tiredness, or shakiness";"2024-06-21 06:01:47";"2024-06-21 06:01:47"
"6";"Low or Sad Mood";"Causes of low or sad mood";"2024-06-21 06:04:38";"2024-06-21 06:04:38"
"7";"High Blood Pressure";"Causes of high blood pressure";"2024-06-21 06:08:55";"2024-06-21 06:08:55"
"8";"High Glucose Levels";"Causes of high glucose levels";"2024-06-21 06:11:51";"2024-06-21 06:11:51"
"9";"Preeclampsia";"Understanding preeclampsia";"2024-06-21 06:16:50";"2024-06-21 06:16:50"
"10";"Preterm Labor Pains";"Understanding preterm labor pains";"2024-06-21 06:20:11";"2024-06-21 06:20:11"
"11";"Excessive Vomiting During Pregnancy";"Causes of excessive vomiting";"2024-06-21 06:23:46";"2024-06-21 06:23:46"
"12";"Swollen Feet During Pregnancy";"Causes and implications of swollen feet";"2024-06-21 06:27:11";"2024-06-21 06:27:11"
"13";"Obesity During Pregnancy Complications";"Complications associated with obesity during pregnancy";"2024-06-21 06:44:02";"2024-06-21 06:44:02"
"14";"Malaria and Pregnancy";"Impact of malaria on pregnancy outcomes";"2024-06-21 06:49:52";"2024-06-21 06:49:52"
"15";"Back Pain During Pregnancy";"Causes and remedies for back pain during pregnancy";"2024-06-21 06:52:58";"2024-06-21 06:52:58"
"16";"Sharp Pains in the Stomach During Pregnancy";"Understanding round ligament pain during pregnancy";"2024-06-21 06:55:37";"2024-06-21 06:55:37"
"17";"Bleeding During Pregnancy";"Understanding causes and implications of bleeding during pregnancy";"2024-06-21 07:02:47";"2024-06-21 07:02:47"
"18";"Hot Sweats During Pregnancy";"Understanding hot sweats and body temperature changes during pregnancy";"2024-06-21 07:07:15";"2024-06-21 07:07:15"
"19";"Signs of Labor";"Identifying the onset of labor";"2024-06-21 07:09:48";"2024-06-21 07:09:48"
"20";"Ectopic Pregnancy";"Recognizing signs and symptoms of an ectopic pregnancy";"2024-06-21 07:14:25";"2024-06-21 07:14:25"
"21";"Oligohydramnios";"Understanding oligohydramnios during pregnancy";"2024-06-21 07:17:56";"2024-06-21 07:17:56"
"22";"Miscarriage or Fetal Loss";"Understanding miscarriage and fetal loss during pregnancy";"2024-06-21 07:20:34";"2024-06-21 07:20:34"
"23";"Placental Complications";"Understanding placental abruption and placenta previa during pregnancy";"2024-06-21 07:23:38";"2024-06-21 07:23:38"
"24";"Bleeding in Late Pregnancy";"Understanding causes and implications of bleeding during late pregnancy";"2024-06-21 07:26:14";"2024-06-21 07:26:14"
"25";"Supplements During Pregnancy";"Importance of supplements, especially prenatal vitamins, during pregnancy";"2024-06-21 07:31:38";"2024-06-21 07:31:38"
"26";"Avoidances During Pregnancy";"Importance of avoiding certain substances during pregnancy";"2024-06-21 07:36:20";"2024-06-21 07:36:20"
