"id";"intent_id";"content";"created_at";"updated_at"
"4";"3";"Why do I feel tired and weak?";"2024-06-21 05:50:20";"2024-06-21 05:50:20"
"5";"3";"What could be causing my tiredness and weakness?";"2024-06-21 05:50:34";"2024-06-21 05:50:34"
"6";"3";"Why am I always feeling so exhausted and weak?";"2024-06-21 05:50:48";"2024-06-21 05:50:48"
"7";"3";"What are the reasons for feeling fatigued and weak?";"2024-06-21 05:51:03";"2024-06-21 05:51:03"
"8";"4";"Why do I feel pain or burning when I use the bathroom?";"2024-06-21 05:53:22";"2024-06-21 05:53:22"
"9";"4";"What could be causing pain or burning during urination?";"2024-06-21 05:53:35";"2024-06-21 05:53:35"
"10";"4";"Why is it painful or burning when I pee?";"2024-06-21 05:53:47";"2024-06-21 05:53:47"
"11";"4";"What are the reasons for experiencing burning sensation when urinating?";"2024-06-21 05:53:58";"2024-06-21 05:53:58"
"12";"5";"Why do I feel fever, tiredness, or shakiness?";"2024-06-21 06:02:04";"2024-06-21 06:02:04"
"13";"5";"What could be causing my fever, tiredness, or shakiness?";"2024-06-21 06:02:17";"2024-06-21 06:02:17"
"14";"5";"Why am I experiencing fever, fatigue, and shakiness?";"2024-06-21 06:02:28";"2024-06-21 06:02:28"
"15";"5";"What are the reasons for feeling feverish, tired, or shaky?";"2024-06-21 06:02:43";"2024-06-21 06:02:43"
"16";"6";"Why do I have a low or sad mood?";"2024-06-21 06:04:55";"2024-06-21 06:04:55"
"17";"6";"What could be causing my low or sad mood?";"2024-06-21 06:05:07";"2024-06-21 06:05:07"
"18";"6";"Why am I feeling depressed or down?";"2024-06-21 06:05:18";"2024-06-21 06:05:18"
"19";"6";"What are the reasons for feeling consistently sad or low?";"2024-06-21 06:05:29";"2024-06-21 06:05:29"
"20";"7";"Why is my blood pressure high?";"2024-06-21 06:09:14";"2024-06-21 06:09:14"
"21";"7";"What could be causing my high blood pressure?";"2024-06-21 06:09:28";"2024-06-21 06:09:28"
"22";"7";"Why do I have hypertension?";"2024-06-21 06:09:38";"2024-06-21 06:09:38"
"23";"7";"What are the reasons for elevated blood pressure?";"2024-06-21 06:09:51";"2024-06-21 06:09:51"
"24";"8";"Why are my glucose levels high?";"2024-06-21 06:12:05";"2024-06-21 06:12:05"
"25";"8";"What could be causing my high blood sugar?";"2024-06-21 06:12:22";"2024-06-21 06:12:22"
"26";"8";"Why do I have elevated glucose levels?";"2024-06-21 06:12:35";"2024-06-21 06:12:35"
"27";"8";"What are the reasons for high blood sugar during pregnancy?";"2024-06-21 06:12:48";"2024-06-21 06:12:48"
