"id";"intent_id";"content";"created_at";"updated_at"
"1";"3";"Having lower red blood cells than normal, also called being anemic, can cause you to feel tired and weak. Treating the underlying cause of anemia, typically by taking iron and folic supplements, can help restore healthy red blood cells.";"2024-06-21 05:51:32";"2024-06-21 05:51:32"
"2";"3";"Feeling tired and weak might be due to anemia, which is having fewer red blood cells than normal. Taking iron and folic supplements can help treat the underlying cause of anemia.";"2024-06-21 05:51:48";"2024-06-21 05:51:48"
"3";"3";"Anemia, a condition where you have lower red blood cells than normal, can make you feel tired and weak. Treatment usually involves taking iron and folic supplements to restore healthy red blood cells.";"2024-06-21 05:52:00";"2024-06-21 05:52:00"
"4";"3";"You may feel tired and weak due to anemia, which means you have fewer red blood cells than normal. The usual treatment includes iron and folic supplements to address the underlying cause.";"2024-06-21 05:52:14";"2024-06-21 05:52:14"
"5";"4";"When a woman becomes pregnant, her immune system goes down, making her susceptible to infections such as a UTI. A UTI is a bacterial infection in the urinary tract.";"2024-06-21 05:54:34";"2024-06-21 05:54:34"
"6";"4";"Pain or burning during urination can be caused by a urinary tract infection (UTI). Pregnant women are more susceptible to UTIs because their immune system is weaker.";"2024-06-21 05:54:49";"2024-06-21 05:54:49"
"7";"4";"If you feel pain or a burning sensation when you pee, it could be due to a urinary tract infection (UTI). This is more common in pregnant women because their immune system is suppressed.";"2024-06-21 05:55:05";"2024-06-21 05:55:05"
"8";"4";"Experiencing a burning sensation when urinating might be due to a UTI, a bacterial infection in the urinary tract. Pregnant women are more likely to get UTIs due to a lowered immune system.";"2024-06-21 05:55:20";"2024-06-21 05:55:20"
"9";"5";"It is important to see your health care provider if you think you have a UTI or any fever.";"2024-06-21 06:03:04";"2024-06-21 06:03:04"
"10";"5";"If you are experiencing fever, tiredness, or shakiness, you should consult your health care provider to determine if you have a UTI or another condition.";"2024-06-21 06:03:17";"2024-06-21 06:03:17"
"11";"5";"Feeling feverish, tired, or shaky could indicate an underlying issue such as a UTI. It's important to see your health care provider for a proper diagnosis.";"2024-06-21 06:03:32";"2024-06-21 06:03:32"
"12";"5";"Symptoms like fever, tiredness, or shakiness may require medical attention. Contact your health care provider to check for a UTI or other possible causes.";"2024-06-21 06:03:45";"2024-06-21 06:03:45"
"13";"6";"Some women experience depression during or after pregnancy. When many of these symptoms occur together and last for more than a week or two at a time, it is probably depression. It is important that the mother visits a health care provider.";"2024-06-21 06:05:51";"2024-06-21 06:05:51"
"14";"6";"Feeling a low or sad mood for an extended period may indicate depression, especially during or after pregnancy. It's crucial to see a health care provider if these symptoms persist for more than a week or two.";"2024-06-21 06:07:23";"2024-06-21 06:07:23"
"15";"6";"Experiencing a consistently low or sad mood could be a sign of depression, which some women experience during or after pregnancy. Seeking help from a health care provider is important.";"2024-06-21 06:07:40";"2024-06-21 06:07:40"
"16";"6";"If you have a low or sad mood that lasts for more than a week or two, it might be depression. This is common during or after pregnancy, and it's essential to visit a health care provider.";"2024-06-21 06:07:57";"2024-06-21 06:07:57"
"17";"7";"High blood pressure during pregnancy could be caused by being overweight or obese, not getting enough physical activity, smoking, drinking alcohol, first-time pregnancy, a family history of pregnancy-related hypertension, carrying more than one child, age (over 35), assistive reproductive technology (such as in vitro fertilization, or IVF), and having diabetes or certain autoimmune diseases.";"2024-06-21 06:10:13";"2024-06-21 06:10:13"
"18";"7";"There are several factors that might cause high blood pressure during pregnancy, including obesity, lack of physical activity, smoking, alcohol consumption, first-time pregnancy, family history, carrying multiple children, being over 35, using assistive reproductive technology, and having diabetes or certain autoimmune diseases.";"2024-06-21 06:10:32";"2024-06-21 06:10:32"
"19";"7";"Your high blood pressure could be due to factors like being overweight, lack of exercise, smoking, alcohol use, a first-time pregnancy, family history of hypertension, carrying twins or more, being over the age of 35, using IVF, or having diabetes or autoimmune diseases.";"2024-06-21 06:10:51";"2024-06-21 06:10:51"
"20";"7";"Elevated blood pressure during pregnancy may result from being overweight, not exercising, smoking, drinking, being pregnant for the first time, having a family history of pregnancy-related hypertension, carrying multiple babies, being older than 35, using IVF, or having diabetes or autoimmune disorders.";"2024-06-21 06:11:04";"2024-06-21 06:11:04"
"21";"8";"Gestational diabetes is diabetes diagnosed for the first time during pregnancy. It causes high blood sugar that can affect your pregnancy and your baby's health. Some risk factors include being overweight or obese, not being physically active, having prediabetes, having had gestational diabetes during a previous pregnancy, having polycystic ovary syndrome, having an immediate family member with diabetes, and having previously delivered a baby weighing more than 9 pounds (4.1 kilograms).";"2024-06-21 06:13:14";"2024-06-21 06:13:14"
"22";"8";"High glucose levels during pregnancy can be due to gestational diabetes, which is diagnosed for the first time during pregnancy. Risk factors include obesity, lack of physical activity, prediabetes, previous gestational diabetes, polycystic ovary syndrome, family history of diabetes, and previously delivering a large baby.";"2024-06-21 06:13:25";"2024-06-21 06:13:25"
"23";"8";"Elevated glucose levels may be caused by gestational diabetes, a condition first diagnosed during pregnancy. Factors such as being overweight, inactivity, prediabetes, previous gestational diabetes, polycystic ovary syndrome, family history of diabetes, and delivering a large baby can increase your risk.";"2024-06-21 06:13:40";"2024-06-21 06:13:40"
"24";"8";"If your blood sugar is high, it could be due to gestational diabetes, which is diagnosed for the first time during pregnancy. Risk factors include being overweight, lack of physical activity, having prediabetes, having had gestational diabetes before, having polycystic ovary syndrome, having a family history of diabetes, and having delivered a large baby previously.";"2024-06-21 06:13:57";"2024-06-21 06:13:57"
"25";"9";"Preeclampsia is a serious medical condition that can lead to preterm delivery and death. Its cause is unknown, but some women are at an increased risk. Risk factors include first pregnancies, preeclampsia in a previous pregnancy, existing conditions such as high blood pressure, diabetes, kidney disease, and others, being 35 years of age or older, carrying two or more fetuses, and obesity.";"2024-06-21 06:18:09";"2024-06-21 06:18:09"
"26";"9";"Preeclampsia is a severe condition during pregnancy that can cause preterm delivery and even death. The exact cause is unknown, but risk factors include first-time pregnancies, previous preeclampsia, high blood pressure, diabetes, kidney disease, age over 35, multiple fetuses, and obesity.";"2024-06-21 06:18:23";"2024-06-21 06:18:23"
"27";"9";"Preeclampsia is a serious medical condition that can result in preterm delivery and death. Although its cause is unknown, risk factors include first pregnancies, a history of preeclampsia, pre-existing conditions like high blood pressure, diabetes, kidney disease, being over 35, carrying multiple fetuses, and obesity.";"2024-06-21 06:18:40";"2024-06-21 06:18:40"
"28";"9";"In pregnancy, preeclampsia is a dangerous condition that can lead to preterm birth and death. The cause is unknown, but increased risk is associated with first pregnancies, previous preeclampsia, existing conditions such as high blood pressure, diabetes, kidney disease, age over 35, carrying multiples, and obesity.";"2024-06-21 06:19:00";"2024-06-21 06:19:00"
"29";"10";"Not all contractions mean you’re in labor. You may have contractions on and off before true labor starts. These are called false labor pains or Braxton-Hicks contractions. They soften and thin the cervix to help your body get ready for labor and birth. You may feel them in the weeks right before your due date. Learning the differences between true labor contractions and false labor contractions can help you know when you’re really in labor.";"2024-06-21 06:21:38";"2024-06-21 06:21:38"
"30";"10";"Contractions before your due date might not indicate true labor. These could be false labor pains or Braxton-Hicks contractions, which occur to soften and thin the cervix in preparation for labor. These can happen in the weeks leading up to your due date. Understanding the differences between true labor and false labor contractions can help determine if you’re really in labor.";"2024-06-21 06:21:52";"2024-06-21 06:21:52"
"31";"10";"Experiencing labor pains before your due date can be due to Braxton-Hicks contractions, also known as false labor pains. These contractions help soften and thin the cervix to prepare for labor and birth and often occur in the weeks before your due date. Knowing the difference between true and false labor contractions can be helpful.";"2024-06-21 06:22:06";"2024-06-21 06:22:06"
"32";"10";"Labor pains before your due date are often false labor pains or Braxton-Hicks contractions, which help prepare your cervix for labor. These contractions can occur on and off in the weeks leading up to your due date. Learning to distinguish between true labor contractions and false labor contractions can help you understand when you’re actually in labor.";"2024-06-21 06:22:23";"2024-06-21 06:22:23"
"33";"11";"Many women experience nausea or vomiting, often referred to as “morning sickness,” especially during the first 3 months of pregnancy. The cause is believed to be rapidly rising levels of a hormone called HCG (Human Chorionic Gonadotropin). However, severe vomiting beyond typical morning sickness, known as hyperemesis gravidarum, can lead to weight loss and dehydration and may require intensive treatment.";"2024-06-21 06:25:03";"2024-06-21 06:25:03"
"34";"11";"Excessive vomiting during pregnancy, beyond typical morning sickness, is known as hyperemesis gravidarum. It is believed to be caused by rapidly increasing levels of HCG (Human Chorionic Gonadotropin) in the blood. This condition can lead to weight loss and dehydration, requiring intensive treatment.";"2024-06-21 06:25:19";"2024-06-21 06:25:19"
"35";"11";"Frequent vomiting during pregnancy, beyond normal morning sickness, could be hyperemesis gravidarum. This condition is linked to high levels of HCG hormone, causing severe symptoms such as weight loss and dehydration. It may necessitate intensive medical care.";"2024-06-21 06:25:43";"2024-06-21 06:25:43"
"36";"11";"Severe vomiting during pregnancy, known as hyperemesis gravidarum, is more extreme than typical morning sickness and is believed to result from elevated HCG levels. This condition can lead to weight loss, dehydration, and may require intensive treatment.";"2024-06-21 06:26:01";"2024-06-21 06:26:01"
"37";"12";"It's normal to experience some swelling in pregnancy, especially in your legs, ankles, feet, and fingers. This swelling tends to worsen towards the end of the day and as your pregnancy progresses.";"2024-06-21 06:28:25";"2024-06-21 06:28:25"
"38";"12";"Swelling that develops gradually during pregnancy, particularly in your legs, ankles, feet, and fingers, is usually not harmful but can be uncomfortable.";"2024-06-21 06:28:42";"2024-06-21 06:28:42"
"39";"12";"Swollen feet during pregnancy can occur due to normal changes in your body, particularly in the later stages of pregnancy. This swelling tends to be worse by the end of the day.";"2024-06-21 06:29:03";"2024-06-21 06:29:03"
"40";"12";"While some swelling in your legs, ankles, feet, and fingers is normal during pregnancy, a sudden increase in swelling, especially in your face, hands, or feet, could indicate a more serious condition like pre-eclampsia. This condition requires immediate medical attention if accompanied by symptoms such as severe headache, vision problems, severe pain below the ribs, or vomiting.";"2024-06-21 06:29:27";"2024-06-21 06:29:27"
"41";"13";"The heavier a woman is before she becomes pregnant, the greater her risk of pregnancy complications, including preeclampsia, Gestational Diabetes Mellitus, stillbirth, and cesarean delivery. Overweight and obese women who lose weight before pregnancy are likely to have healthier pregnancies.";"2024-06-21 06:45:53";"2024-06-21 06:45:53"
"42";"13";"Obesity before pregnancy increases the risk of various complications during pregnancy, such as preeclampsia, Gestational Diabetes Mellitus, stillbirth, and the likelihood of needing a cesarean delivery. Weight loss before pregnancy can improve the outcome of pregnancy for overweight and obese women.";"2024-06-21 06:46:05";"2024-06-21 06:46:05"
"43";"13";"Pregnancy complications like preeclampsia, Gestational Diabetes Mellitus, stillbirth, and cesarean delivery are more common in women who are overweight or obese before pregnancy. Losing weight before conceiving can improve the chances of a healthier pregnancy.";"2024-06-21 06:46:17";"2024-06-21 06:46:17"
"44";"13";"Being obese before pregnancy raises the risk of complications such as preeclampsia, Gestational Diabetes Mellitus, stillbirth, and cesarean delivery. Women who lose weight before becoming pregnant are likely to experience better outcomes during pregnancy.";"2024-06-21 06:46:30";"2024-06-21 06:46:30"
